City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Montivilliers,FR,78.42,clear sky,49.5452,0.1877,Hotel Inn Design Le Havre Nord Montivilliers
437,Saint Anthony,US,76.82,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
442,Mezen,RU,64.9,scattered clouds,65.8522,44.24,Gostevoy Dom Everest
443,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
445,Qingdao,CN,69.4,heavy intensity rain,36.0986,120.3719,Le Meridien Qingdao
446,Sungairaya,ID,77.13,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
447,Folkestone,GB,76.73,broken clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
448,Lazaro Cardenas,MX,77.81,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
449,Sosnytsya,UA,61.47,broken clouds,51.5239,32.4999,Maria
450,Hambantota,LK,80.15,overcast clouds,6.1241,81.1185,Bungalow 63
451,Acapulco,MX,79.7,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
452,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
453,Luba,GQ,78.69,moderate rain,3.4568,8.5547,
454,Wattegama,LK,76.8,heavy intensity rain,6.7989,81.4808,
455,Bunia,CD,68.52,scattered clouds,1.5667,30.25,Gold Star International Hotel
460,Shache,CN,87.71,broken clouds,38.4167,77.2406,Delong Hotel
461,Cheremshan,RU,63.66,light rain,54.6667,51.5,"Khostel ""U Kamina"""
463,San Antonio Del Norte,HN,82.89,overcast clouds,13.8844,-87.7031,Hotel Nohemy
464,Schwedt,DE,73.24,broken clouds,53.0596,14.2815,Andersen Hotel Schwedt
467,Mackenzie,CA,63.19,light rain,55.2999,-123.1698,Hilton Shop
472,Bonthe,SL,81.55,light rain,7.5264,-12.505,Bonthe Holiday Village
473,Sibolga,ID,76.87,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
474,Kigoma,TZ,76.5,clear sky,-4.8769,29.6267,MJI Mwema Lodge
476,Fond Du Lac,US,82.81,clear sky,43.775,-88.4388,Radisson Hotel and Conference Center Fond du Lac
479,Atbasar,KZ,63.63,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
482,Kopanskaya,RU,70.05,clear sky,46.2779,38.4795,
483,Hami,CN,84.83,scattered clouds,42.8,93.45,Laoyutang Resort
484,Port Moresby,PG,75.96,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
486,Santo Antonio Do Sudoeste,BR,67.1,scattered clouds,-26.0736,-53.7253,Hotel Frontera
487,Eydhafushi,MV,83.16,overcast clouds,5.1033,73.0708,Soneva Fushi
488,Basco,PH,85.3,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
489,Sacramento,US,78.33,few clouds,38.4666,-121.3177,Manda’s House oly 100 sqft
490,Punalur,IN,77.41,overcast clouds,9.0,76.9333,Motel Araam
493,Sambava,MG,72.77,clear sky,-14.2667,50.1667,Melrose
494,Sedan,FR,79.72,scattered clouds,49.6667,5.0,"Hôtel & Restaurant Le Coeur d'Or, Sedan Est (The Originals City)"
496,Mormugao,IN,80.51,overcast clouds,15.4,73.8,Coconut Creek Resort
499,Ambon,ID,78.24,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
500,Pingliang,CN,65.14,scattered clouds,35.5392,106.6861,North Gate Hostel
501,Dwarka,IN,85.08,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
502,Kailua,US,76.64,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
503,Oistins,BB,82.29,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
505,Buchanan,LR,77.18,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
506,Shitanjing,CN,79.66,broken clouds,39.2342,106.3439,Yingbin Hotel
508,Muros,ES,67.26,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
509,Port Hedland,AU,68.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
510,Kurchum,KZ,61.83,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
511,Manaus,BR,86.49,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
512,Houlton,US,79.21,clear sky,46.1262,-67.8403,Ivey's Motor Lodge Houlton
513,Lalmohan,BD,82.65,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
514,Tsukumi,JP,70.29,overcast clouds,33.0706,131.8572,Hotel AZ Oita Tsukumi
515,Dalian,CN,66.13,clear sky,38.9122,121.6022,Kempinski Hotel Dalian
