City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Buckeye,US,33.3703,-112.5838,103.15,12,0,0.0,clear sky
243,Camacha,PT,33.0833,-16.3333,69.22,68,20,16.11,few clouds
244,Vao,NC,-22.6667,167.4833,75.4,85,100,25.01,overcast clouds
245,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,9.22,scattered clouds
246,Barguzin,RU,53.6167,109.6167,61.03,54,61,1.66,broken clouds
247,Kavieng,PG,-2.5744,150.7967,81.18,76,87,12.35,light rain
248,Kokstad,ZA,-30.5472,29.4241,37.76,62,16,3.13,few clouds
249,San Cristobal,VE,7.7669,-72.225,82.58,49,59,7.49,broken clouds
250,Wakema,MM,16.6,95.1833,80.96,86,95,4.14,overcast clouds
251,Znamenskoye,RU,57.1281,73.8282,53.73,93,98,5.79,overcast clouds
252,Kota Bahru,MY,6.1333,102.2386,80.55,94,20,0.0,few clouds
253,Kaeng Khoi,TH,14.5862,100.9976,84.11,79,100,5.26,overcast clouds
254,Tamayo,DO,18.3947,-71.2029,89.31,66,75,13.8,broken clouds
255,El Carmen,CO,8.5106,-73.4478,80.11,65,84,3.47,broken clouds
256,Cabo San Lucas,MX,22.8909,-109.9124,93.61,60,65,2.06,broken clouds
257,Tremedal,BR,-14.9758,-41.4108,84.15,24,0,6.67,clear sky
258,Boende,CD,-0.2167,20.8667,76.41,83,90,2.98,light rain
259,Barkhan,PK,29.8977,69.5256,90.84,26,0,14.0,clear sky
260,Mandalgovi,MN,45.7625,106.2708,66.02,61,61,12.84,broken clouds
261,Berlevag,NO,70.8578,29.0864,41.0,87,75,12.66,light rain
262,Muriwai Beach,NZ,-36.8167,174.45,54.86,96,2,10.71,clear sky
263,Lodeynoye Pole,RU,60.726,33.5531,53.24,87,73,5.48,broken clouds
264,Tual,ID,-5.6667,132.75,82.06,79,33,13.02,scattered clouds
265,Along,IN,28.1667,94.7667,71.35,99,100,1.7,overcast clouds
266,Ondangwa,NA,-17.9167,15.95,80.6,19,0,3.44,clear sky
267,Bargarh,IN,21.3333,83.6167,85.06,62,82,5.91,broken clouds
268,Nortelandia,BR,-14.4547,-56.8028,92.53,36,3,7.4,clear sky
269,Canon City,US,38.441,-105.2424,89.4,28,0,3.0,clear sky
270,Nivala,FI,63.9167,24.9667,48.69,98,100,10.45,light rain
271,Dumas,US,35.8656,-101.9732,88.61,37,0,17.27,clear sky
272,Buala,SB,-8.145,159.5921,78.71,83,100,7.34,light rain
273,Kamiichi,JP,36.7,137.3667,68.77,87,88,4.12,overcast clouds
274,Borogontsy,RU,62.6683,131.1683,49.23,95,95,1.63,overcast clouds
275,Bengkulu,ID,-3.8004,102.2655,76.77,88,100,3.89,overcast clouds
276,Cheyenne,US,41.14,-104.8203,81.77,15,0,11.01,clear sky
277,Krasnoselkup,RU,65.7,82.4667,62.76,79,42,1.52,moderate rain
278,Vardo,NO,70.3705,31.1107,42.78,81,100,16.11,overcast clouds
279,Juneau,US,58.3019,-134.4197,66.85,75,0,5.59,clear sky
280,Aviles,ES,43.5547,-5.9248,80.38,69,0,25.32,clear sky
281,San Juan,AR,-31.5375,-68.5364,56.34,33,0,4.38,clear sky
282,Tucuma,BR,-0.1833,-50.05,87.13,52,24,7.18,few clouds
283,Bairiki,KI,1.3292,172.9752,80.6,78,40,11.5,scattered clouds
284,Jacksonville,US,30.3322,-81.6556,95.22,63,40,9.22,scattered clouds
285,Ust-Kuyga,RU,70.0167,135.6,35.83,77,83,9.08,broken clouds
286,Miyako,JP,39.6367,141.9525,61.66,90,24,6.26,few clouds
