City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,New Norfolk,AU,2022-06-10 21:46:08,-42.7826,147.0587,279.22,83,98,0.89
170,Camocim,BR,2022-06-10 21:46:09,-2.9022,-40.8411,298.28,87,10,4.13
171,Sao Joao Da Barra,BR,2022-06-10 21:46:10,-21.6403,-41.0511,298.2,83,56,3.63
172,Ostrovnoy,RU,2022-06-10 21:46:11,68.0531,39.5131,278.54,78,22,2.8
173,Severnoye,RU,2022-06-10 21:46:11,56.3491,78.3619,289.21,92,100,5.02
174,Russell,US,2022-06-10 21:45:24,32.3502,-85.1999,304.75,51,0,2.57
175,Cilegon,ID,2022-06-10 21:46:12,-6.0174,106.0538,298.94,84,76,0.79
176,Bogotol,RU,2022-06-10 21:46:13,56.2078,89.5342,283.56,73,26,3.57
177,Sal Rei,CV,2022-06-10 21:46:14,16.1833,-22.9167,295.73,90,3,6.88
178,Jamestown,US,2022-06-10 21:46:14,42.097,-79.2353,293.81,28,0,6.69
179,Nuuk,GL,2022-06-10 21:46:15,64.1835,-51.7216,280.49,70,75,1.03
180,Vanavara,RU,2022-06-10 21:43:13,60.34,102.2797,286.69,66,53,0.65
181,Puerto Rico,AR,2022-06-10 21:47:18,-26.796,-55.024,285.02,81,88,2.32
182,Langenburg,DE,2022-06-10 21:47:18,49.2544,9.8458,289.08,75,20,1.03
183,Torres,BR,2022-06-10 21:47:19,-29.3353,-49.7269,285.83,71,86,8.48
184,Mahebourg,MU,2022-06-10 21:47:19,-20.4081,57.7,295.31,88,75,7.72
185,San Juan Del Sur,NI,2022-06-10 21:47:20,11.2529,-85.8705,302.27,74,20,2.06
186,Norman Wells,CA,2022-06-10 21:47:21,65.282,-126.8329,288.17,55,20,7.2
187,Ornskoldsvik,SE,2022-06-10 21:47:21,63.2909,18.7153,282.7,97,57,1.06
188,Ponta Do Sol,PT,2022-06-10 21:47:22,32.6667,-17.1,297.5,64,0,2.36
189,Esperance,AU,2022-06-10 21:47:23,-33.8667,121.9,286.18,59,94,8.13
190,Pitimbu,BR,2022-06-10 21:47:23,-7.4706,-34.8086,297.48,81,14,2.5
191,Tvoroyri,FO,2022-06-10 21:47:24,61.5556,-6.8111,283.95,91,100,12.88
192,Bereda,ES,2022-06-10 21:47:25,43.2686,-7.5406,285.38,99,6,2.08
193,Lisakovsk,KZ,2022-06-10 21:47:26,52.5369,62.4936,285.3,86,6,3.87
194,Caravelas,BR,2022-06-10 21:47:27,-17.7125,-39.2481,295.22,85,49,2.75
195,Bartica,GY,2022-06-10 21:47:27,6.4,-58.6167,301.33,97,100,1.31
196,Bobo Dioulasso,BF,2022-06-10 21:47:28,11.1771,-4.2979,302.4,70,0,2.57
197,Kahului,US,2022-06-10 21:47:29,20.8947,-156.47,303.16,65,20,8.75
198,Cherskiy,RU,2022-06-10 21:47:29,68.75,161.3,293.59,29,25,5.9
199,Micheweni,TZ,2022-06-10 21:47:31,-4.9667,39.8333,298.22,80,32,5.65
200,Cheyenne,US,2022-06-10 21:45:38,41.14,-104.8203,305.8,16,20,10.29
201,Fortuna,US,2022-06-10 21:47:32,40.5982,-124.1573,299.78,70,40,6.17
202,Cao Bang,VN,2022-06-10 21:46:48,22.6667,106.25,296.76,98,100,0.27
203,Nemuro,JP,2022-06-10 21:46:18,43.3236,145.575,282.7,88,80,4.87
204,Olafsvik,IS,2022-06-10 21:47:34,64.8945,-23.7142,280.47,85,100,10.2
205,Haines Junction,CA,2022-06-10 21:47:35,60.7522,-137.5108,284.07,76,100,3.18
206,Ara,IN,2022-06-10 21:47:35,25.5667,84.6667,301.09,66,49,4.23
207,Saraland,US,2022-06-10 21:47:36,30.8207,-88.0706,303.55,64,96,3.31
208,Canberra,AU,2022-06-10 21:46:23,-35.2835,149.1281,278.21,88,7,4.12
209,Youkounkoun,GN,2022-06-10 21:47:38,12.5333,-13.1333,303.37,56,23,2.68
210,Cabo San Lucas,MX,2022-06-10 21:47:38,22.8909,-109.9124,306.27,63,11,5.91
211,Galveston,US,2022-06-10 21:47:39,29.3669,-94.9669,309.92,68,0,7.72
212,Cayenne,GF,2022-06-10 21:47:39,4.9333,-52.3333,298.2,1,75,2.57
213,Pyapon,MM,2022-06-10 21:47:40,16.2833,95.6833,298.85,91,100,3.59
214,Bonnyville,CA,2022-06-10 21:47:40,54.2668,-110.735,289.77,97,100,3.54
215,Verkhnyaya Inta,RU,2022-06-10 21:45:07,65.9811,60.3094,287.58,63,32,3.51
216,Urucara,BR,2022-06-10 21:47:41,-2.5364,-57.76,297.63,93,92,1.19
217,Oksbol,DK,2022-06-10 21:47:41,55.6268,8.2876,286.43,93,6,4.17
218,Coihaique,CL,2022-06-10 21:47:42,-45.5752,-72.0662,278.49,70,75,3.09
219,Talnakh,RU,2022-06-10 21:47:42,69.4865,88.3972,286.6,52,9,3.52
220,Puerto Ayacucho,VE,2022-06-10 21:47:43,5.6639,-67.6236,300.27,81,77,2.24
221,Ndjole,GA,2022-06-10 21:47:43,-0.1783,10.7649,296.41,98,71,1.85
222,Faanui,PF,2022-06-10 21:47:44,-16.4833,-151.75,299.93,75,12,7.34
223,Abha,SA,2022-06-10 21:47:44,18.2164,42.5053,296.05,14,0,0.0
224,Iranshahr,IR,2022-06-10 21:47:45,27.2025,60.6848,309.34,30,0,2.06
225,Jinzhou,CN,2022-06-10 21:47:46,41.1078,121.1417,290.98,93,74,2.33
226,Kolokani,ML,2022-06-10 21:47:46,13.5728,-8.0339,308.08,18,43,1.62
227,Te Anau,NZ,2022-06-10 21:48:47,-45.4167,167.7167,276.42,86,100,2.19
228,Dinguiraye,GN,2022-06-10 21:48:47,11.3,-10.7167,295.25,83,100,2.23
229,Kemijarvi,FI,2022-06-10 21:48:47,66.7131,27.4306,281.8,67,6,1.47
230,Kaitangata,NZ,2022-06-10 21:48:48,-46.2817,169.8464,276.26,93,40,2.77
231,Snezhnogorsk,RU,2022-06-10 21:48:49,69.1933,33.2531,276.03,80,78,0.76
232,Gudalur,IN,2022-06-10 21:48:49,9.6833,77.2667,296.24,90,100,3.47
233,Ismailia,EG,2022-06-10 21:48:50,30.6043,32.2723,296.97,67,0,2.96
234,Boddam,GB,2022-06-10 21:48:50,57.4667,-1.7833,285.61,81,94,9.27
235,Tilichiki,RU,2022-06-10 21:48:51,60.4667,166.1,284.67,55,98,6.22
236,Stokmarknes,NO,2022-06-10 21:48:51,68.5646,14.9108,282.13,81,1,3.6
237,Fare,PF,2022-06-10 21:48:51,-16.7,-151.0167,299.83,74,2,5.85
238,Asau,RO,2022-06-10 21:48:52,46.4333,26.4,288.86,99,64,2.27
239,Sorong,ID,2022-06-10 21:48:53,-0.8833,131.25,298.83,83,37,1.27
240,Victoria,HK,2022-06-10 21:45:36,22.2855,114.1577,300.18,94,100,2.68
241,Kimbe,PG,2022-06-10 21:48:54,-5.5502,150.1429,299.39,84,13,1.15
242,Mongu,ZM,2022-06-10 21:48:54,-15.2484,23.1274,291.73,45,94,3.83
